image_id,question_type,reason_code,detail
kv1/b3dodata/img_0142,count,NO_ELIGIBLE_OBJECTS,
kv1/b3dodata/img_0166,count,NO_ELIGIBLE_OBJECTS,
kv1/b3dodata/img_0228,count,NO_ELIGIBLE_OBJECTS,
kv1/b3dodata/img_0258,count,NO_ELIGIBLE_OBJECTS,
kv2/align_kv2/2014-12-18_11-46-45_260595134347,count,NO_ELIGIBLE_OBJECTS,
kv2/align_kv2/2014-12-18_12-06-28_260595134347,count,NO_ELIGIBLE_OBJECTS,
kv2/align_kv2/2014-12-18_13-59-24_260595134347,count,NO_ELIGIBLE_OBJECTS,
kv2/align_kv2/2014-12-18_14-15-03_260595134347,count,NO_ELIGIBLE_OBJECTS,
kv2/align_kv2/2014-12-18_14-25-11_260595134347,count,NO_COUNTABLE_CONCEPT,max_count_seen=8
kv2/align_kv2/2014-12-18_14-25-23_260595134347,count,NO_ELIGIBLE_OBJECTS,
kv2/align_kv2/2014-12-18_14-26-53_260595134347,count,NO_ELIGIBLE_OBJECTS,
kv2/align_kv2/2014-12-18_14-27-13_260595134347,count,NO_COUNTABLE_CONCEPT,max_count_seen=7
kv2/align_kv2/2014-12-18_14-33-05_260595134347,count,NO_COUNTABLE_CONCEPT,max_count_seen=6
kv2/align_kv2/2014-12-18_14-33-25_260595134347,count,NO_COUNTABLE_CONCEPT,max_count_seen=8
kv2/align_kv2/2014-12-18_14-34-22_260595134347,count,NO_COUNTABLE_CONCEPT,max_count_seen=10
kv2/align_kv2/2014-12-18_15-44-11_260595134347,count,NO_COUNTABLE_CONCEPT,max_count_seen=14
kv2/align_kv2/2014-12-18_15-44-55_260595134347,count,NO_COUNTABLE_CONCEPT,max_count_seen=8
kv2/align_kv2/2014-12-18_15-46-38_260595134347,count,NO_COUNTABLE_CONCEPT,max_count_seen=6
kv2/align_kv2/2014-12-18_15-49-37_260595134347,count,NO_COUNTABLE_CONCEPT,max_count_seen=9
kv2/align_kv2/2014-12-18_15-55-20_260595134347,count,NO_COUNTABLE_CONCEPT,max_count_seen=7
