image_id,question_type,reason_code,detail
kv1/b3dodata/img_0142,existence,NO_ELIGIBLE_OBJECTS,
kv1/b3dodata/img_0166,existence,NO_ELIGIBLE_OBJECTS,
kv1/b3dodata/img_0228,existence,NO_ELIGIBLE_OBJECTS,
kv1/b3dodata/img_0258,existence,NO_ELIGIBLE_OBJECTS,
kv2/align_kv2/2014-12-18_11-46-45_260595134347,existence,NO_ELIGIBLE_OBJECTS,
kv2/align_kv2/2014-12-18_12-06-28_260595134347,existence,NO_ELIGIBLE_OBJECTS,
kv2/align_kv2/2014-12-18_13-59-24_260595134347,existence,NO_ELIGIBLE_OBJECTS,
kv2/align_kv2/2014-12-18_14-15-03_260595134347,existence,NO_ELIGIBLE_OBJECTS,
kv2/align_kv2/2014-12-18_14-25-23_260595134347,existence,NO_ELIGIBLE_OBJECTS,
kv2/align_kv2/2014-12-18_14-26-53_260595134347,existence,NO_ELIGIBLE_OBJECTS,
kv2/align_kv2/2014-12-18_15-57-33_260595134347,existence,NO_ELIGIBLE_OBJECTS,
kv2/align_kv2/2014-12-18_16-27-40_260595134347,existence,NO_ELIGIBLE_OBJECTS,
kv2/kinect2data/000261_2014-06-02_15-14-31_260595134347_rgbf000125-resize,existence,NO_ELIGIBLE_OBJECTS,
kv2/kinect2data/000342_2014-06-09_19-36-59_260595134347_rgbf000102-resize,existence,NO_ELIGIBLE_OBJECTS,
kv2/kinect2data/000840_2014-06-08_16-19-48_260595134347_rgbf000125-resize,existence,NO_ELIGIBLE_OBJECTS,
kv2/kinect2data/001254_2014-06-16_16-02-04_260595134347_rgbf000054-resize,existence,NO_ELIGIBLE_OBJECTS,
kv2/kinect2data/001383_2014-06-19_16-00-51_260595134347_rgbf000058-resize,existence,NO_ELIGIBLE_OBJECTS,
kv2/kinect2data/001405_2014-06-19_16-14-49_260595134347_rgbf000089-resize,existence,NO_ELIGIBLE_OBJECTS,
kv2/kinect2data/001554_2014-06-20_17-10-07_260595134347_rgbf000035-resize,existence,NO_ELIGIBLE_OBJECTS,
kv2/kinect2data/002331_2014-06-28_20-03-43_260595134347_rgbf000074-resize,existence,NO_ELIGIBLE_OBJECTS,
kv2/kinect2data/002506_2014-06-24_13-18-36_094959634447_rgbf000076-resize,existence,NO_ELIGIBLE_OBJECTS,
kv2/kinect2data/002605_2014-06-24_14-29-17_094959634447_rgbf000058-resize,existence,NO_ELIGIBLE_OBJECTS,
kv2/kinect2data/002651_2014-06-24_14-57-10_094959634447_rgbf000064-resize,existence,NO_ELIGIBLE_OBJECTS,
kv2/kinect2data/002697_2014-06-22_11-24-53_094959634447_rgbf000150-resize,existence,NO_ELIGIBLE_OBJECTS,
kv2/kinect2data/002743_2014-06-22_12-13-16_094959634447_rgbf000054-resize,existence,NO_ELIGIBLE_OBJECTS,
kv2/kinect2data/002774_2014-06-22_19-23-17_094959634447_rgbf000085-resize,existence,NO_ELIGIBLE_OBJECTS,
