image_id,question_type,reason_code,detail
kv1/NYUdata/NYU0001,identify_superlative,MARGIN_FAIL,largest
kv1/NYUdata/NYU0001,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0001,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0002,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0002,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0003,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0004,identify_superlative,MARGIN_FAIL,largest
kv1/NYUdata/NYU0004,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0005,identify_superlative,MARGIN_FAIL,largest
kv1/NYUdata/NYU0005,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0005,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0006,identify_superlative,MARGIN_FAIL,largest
kv1/NYUdata/NYU0006,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0007,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0008,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0008,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0009,identify_superlative,MARGIN_FAIL,largest
kv1/NYUdata/NYU0009,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0010,identify_superlative,MARGIN_FAIL,largest
kv1/NYUdata/NYU0010,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0010,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0011,identify_superlative,MARGIN_FAIL,largest
kv1/NYUdata/NYU0011,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0011,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0012,identify_superlative,MARGIN_FAIL,largest
kv1/NYUdata/NYU0012,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0013,identify_superlative,MARGIN_FAIL,largest
kv1/NYUdata/NYU0013,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0014,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0016,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0016,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0017,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0018,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0019,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0019,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0020,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0021,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0021,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0022,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0022,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0023,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0023,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0024,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0024,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0025,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0025,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0026,identify_superlative,MARGIN_FAIL,largest
kv1/NYUdata/NYU0026,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0027,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0028,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0028,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0029,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0029,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0030,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0031,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0031,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0032,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0032,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0033,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0033,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0034,identify_superlative,MARGIN_FAIL,largest
kv1/NYUdata/NYU0034,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0035,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0035,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0036,identify_superlative,MARGIN_FAIL,largest
kv1/NYUdata/NYU0036,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0037,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0037,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0038,identify_superlative,MARGIN_FAIL,largest
kv1/NYUdata/NYU0038,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0039,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0040,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0040,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0041,identify_superlative,MARGIN_FAIL,largest
kv1/NYUdata/NYU0041,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0042,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0042,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0043,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0043,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0044,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0045,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0046,identify_superlative,MARGIN_FAIL,largest
kv1/NYUdata/NYU0046,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0046,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0047,identify_superlative,MARGIN_FAIL,largest
kv1/NYUdata/NYU0047,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0048,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0048,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0049,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0050,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0051,identify_superlative,MARGIN_FAIL,largest
kv1/NYUdata/NYU0051,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0051,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0052,identify_superlative,MARGIN_FAIL,largest
kv1/NYUdata/NYU0053,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0053,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0054,identify_superlative,MARGIN_FAIL,largest
kv1/NYUdata/NYU0054,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0055,identify_superlative,MARGIN_FAIL,largest
kv1/NYUdata/NYU0055,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0056,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0057,identify_superlative,MARGIN_FAIL,closest_camera
kv1/NYUdata/NYU0057,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0058,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0059,identify_superlative,MARGIN_FAIL,largest
kv1/NYUdata/NYU0059,identify_superlative,MARGIN_FAIL,farthest_camera
kv1/NYUdata/NYU0060,identify_superlative,MARGIN_FAIL,closest_camera
