image_id,question_type,reason_code,detail
kv1/NYUdata/NYU0001,left_right,NO_PAIR_CLEARS_GATES,
kv1/NYUdata/NYU0007,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0016,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0025,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0026,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0027,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0031,left_right,NO_PAIR_CLEARS_GATES,
kv1/NYUdata/NYU0040,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0065,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0072,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0074,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0078,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0084,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0085,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0086,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0088,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0089,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0090,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0092,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0094,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0096,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0097,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0099,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0100,left_right,NO_PAIR_CLEARS_GATES,
kv1/NYUdata/NYU0101,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0103,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0105,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0106,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0107,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0111,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0113,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0117,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0120,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0149,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0154,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0157,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0166,left_right,NO_PAIR_CLEARS_GATES,
kv1/NYUdata/NYU0167,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0199,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0210,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0233,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0236,left_right,NO_PAIR_CLEARS_GATES,
kv1/NYUdata/NYU0237,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0246,left_right,NO_PAIR_CLEARS_GATES,
kv1/NYUdata/NYU0249,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0271,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0272,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0273,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0276,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0277,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0279,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0284,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0286,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0288,left_right,NO_PAIR_CLEARS_GATES,
kv1/NYUdata/NYU0293,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0302,left_right,NO_PAIR_CLEARS_GATES,
kv1/NYUdata/NYU0307,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0308,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0309,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0310,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0315,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0324,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0325,left_right,INSUFFICIENT_SINGLE_INSTANCE_OBJECTS,
