image_id,question_type,reason_code,detail
kv1/NYUdata/NYU0003,relative_depth,NO_PAIR_CLEARS_DEPTH_GAP,
kv1/NYUdata/NYU0007,relative_depth,FEWER_THAN_TWO_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0016,relative_depth,FEWER_THAN_TWO_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0025,relative_depth,FEWER_THAN_TWO_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0026,relative_depth,FEWER_THAN_TWO_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0027,relative_depth,FEWER_THAN_TWO_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0032,relative_depth,NO_PAIR_CLEARS_DEPTH_GAP,
kv1/NYUdata/NYU0040,relative_depth,FEWER_THAN_TWO_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0043,relative_depth,NO_PAIR_CLEARS_DEPTH_GAP,
kv1/NYUdata/NYU0065,relative_depth,FEWER_THAN_TWO_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0072,relative_depth,FEWER_THAN_TWO_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0074,relative_depth,FEWER_THAN_TWO_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0075,relative_depth,NO_PAIR_CLEARS_DEPTH_GAP,
kv1/NYUdata/NYU0078,relative_depth,FEWER_THAN_TWO_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0084,relative_depth,FEWER_THAN_TWO_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0085,relative_depth,FEWER_THAN_TWO_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0086,relative_depth,FEWER_THAN_TWO_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0088,relative_depth,FEWER_THAN_TWO_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0089,relative_depth,FEWER_THAN_TWO_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0090,relative_depth,FEWER_THAN_TWO_SINGLE_INSTANCE_OBJECTS,
kv1/NYUdata/NYU0092,relative_depth,FEWER_THAN_TWO_SINGLE_INSTANCE_OBJECTS,
