canonical_concept,display_name,category,is_structural,source,frequency
armchair,armchair,furniture,False,frequent,121
backpack,backpack,container,False,frequent,197
bag,bag,container,False,seg37+frequent,1124
baseboard,baseboard,structure,True,frequent,283
basket,basket,container,False,frequent,361
bathtub,bathtub,fixture,False,seg37+frequent,110
bed,bed,furniture,False,seg37+frequent,1474
bedframe,bed_frame,furniture,False,frequent,105
bench,bench,furniture,False,frequent,241
bin,bin,container,False,frequent,248
binder,binder,stationery,False,frequent,101
blackboard,blackboard,decor,False,frequent,152
blanket,blanket,textile,False,frequent,345
blind,blind,fixture,False,seg37+frequent,507
board,board,decor,False,frequent,415
book,book,stationery,False,seg37+frequent,3771
bookshelf,bookshelf,furniture,False,seg37+frequent,774
bottle,bottle,container,False,frequent,1737
bowl,bowl,tableware,False,frequent,445
box,box,container,False,seg37+frequent,2413
cabinet,cabinet,furniture,False,seg37+frequent,2556
cabinetdoor,cabinet_door,fixture,False,frequent,114
cable,cable,other,False,frequent,133
candlestick,candlestick,decor,False,frequent,154
carpet,carpet,textile,False,frequent,460
ceiling,ceiling,structure,True,seg37+frequent,1471
chair,chair,furniture,False,seg37+frequent,19260
chairleg,chair_leg,component,False,frequent,108
chalkboard,chalkboard,decor,False,frequent,151
clock,clock,decor,False,frequent,213
cloth,cloth,textile,False,frequent,320
clothes,clothes,textile,False,seg37+frequent,540
coffeetable,coffee_table,furniture,False,frequent,164
column,column,structure,True,frequent,225
computer,computer,electronics,False,frequent,675
container,container,container,False,frequent,236
cord,cord,other,False,frequent,201
counter,counter,furniture,False,seg37+frequent,898
cpu,cpu,electronics,False,frequent,219
cup,cup,tableware,False,frequent,877
cupboard,cupboard,furniture,False,frequent,463
curtain,curtain,fixture,False,seg37+frequent,1100
cushion,cushion,textile,False,frequent,140
desk,desk,furniture,False,seg37+frequent,2704
desktop,desktop,electronics,False,frequent,121
dishwasher,dishwasher,electronics,False,frequent,122
doll,doll,other,False,frequent,104
door,door,fixture,False,seg37+frequent,3339
doorframe,door_frame,structure,True,frequent,193
doorhandle,door_handle,fixture,False,frequent,125
doorknob,doorknob,fixture,False,frequent,157
doorway,doorway,structure,True,frequent,169
drain,drain,fixture,False,frequent,105
drawer,drawer,furniture,False,frequent,846
dresser,dresser,furniture,False,seg37+frequent,675
eraser,eraser,stationery,False,frequent,139
fan,fan,electronics,False,frequent,121
faucet,faucet,fixture,False,frequent,349
file,file,stationery,False,frequent,198
filecabinet,file_cabinet,furniture,False,frequent,320
firealarm,fire_alarm,fixture,False,frequent,125
floor,floor,structure,True,seg37+frequent,12413
floormat,floor_mat,structure,False,seg37+frequent,254
flower,flower,decor,False,frequent,178
flowerpot,flower_pot,decor,False,frequent,104
frame,frame,decor,False,frequent,202
glass,glass,tableware,False,frequent,338
handle,handle,fixture,False,frequent,272
headboard,headboard,furniture,False,frequent,258
heater,heater,fixture,False,frequent,134
jar,jar,container,False,frequent,245
keyboard,keyboard,electronics,False,frequent,938
lamp,lamp,fixture,False,seg37+frequent,1867
laptop,laptop,electronics,False,frequent,284
light,light,fixture,False,frequent,1265
lightswitch,light_switch,fixture,False,frequent,510
machine,machine,electronics,False,frequent,155
magazine,magazine,stationery,False,frequent,157
marker,marker,stationery,False,frequent,108
mat,mat,textile,False,frequent,103
mattress,mattress,furniture,False,frequent,166
microwave,microwave,electronics,False,frequent,240
mirror,mirror,decor,False,seg37+frequent,921
monitor,monitor,electronics,False,frequent,1605
mouse,mouse,electronics,False,frequent,650
mug,mug,tableware,False,frequent,110
nightstand,night_stand,furniture,False,seg37+frequent,402
notice,notice,stationery,False,frequent,122
ottoman,ottoman,furniture,False,frequent,181
outlet,outlet,fixture,False,frequent,936
oven,oven,electronics,False,frequent,150
painting,painting,decor,False,frequent,316
paper,paper,stationery,False,seg37+frequent,2562
papertowel,paper_towel,other,False,frequent,112
pen,pen,stationery,False,frequent,167
person,person,person,False,seg37+frequent,480
phone,phone,electronics,False,frequent,170
photo,photo,decor,False,frequent,216
picture,picture,decor,False,seg37+frequent,3416
pictureframe,picture_frame,decor,False,frequent,252
pillar,pillar,structure,True,frequent,402
pillow,pillow,textile,False,seg37+frequent,2815
pipe,pipe,other,False,frequent,307
plant,plant,decor,False,frequent,611
plate,plate,tableware,False,frequent,355
poster,poster,decor,False,frequent,457
pot,pot,tableware,False,frequent,176
pricetag,price_tag,stationery,False,frequent,361
printer,printer,electronics,False,frequent,355
rack,rack,furniture,False,frequent,275
recyclebin,recycle_bin,container,False,frequent,114
refrigerator,refrigerator,electronics,False,seg37+frequent,359
remotecontrol,remote_control,electronics,False,frequent,248
rug,rug,textile,False,frequent,379
screen,screen,electronics,False,frequent,164
sculpture,sculpture,decor,False,frequent,106
shelf,shelf,furniture,False,seg37+frequent,2007
shoe,shoe,other,False,frequent,267
showercurtain,shower_curtain,fixture,False,seg37,71
sign,sign,decor,False,frequent,818
sink,sink,fixture,False,seg37+frequent,601
sofa,sofa,furniture,False,seg37+frequent,2178
speaker,speaker,electronics,False,frequent,271
stair,stair,structure,True,frequent,103
stand,stand,furniture,False,frequent,306
stool,stool,furniture,False,frequent,447
stove,stove,electronics,False,frequent,161
stuffedanimal,stuffed_animal,other,False,frequent,152
switchboard,switch_board,fixture,False,frequent,119
table,table,furniture,False,seg37+frequent,7685
tableleg,table_leg,component,False,frequent,130
tag,tag,stationery,False,frequent,338
telephone,telephone,electronics,False,frequent,208
television,television,electronics,False,seg37+frequent,446
thermostat,thermostat,fixture,False,frequent,109
tile,tile,structure,True,frequent,177
tissuebox,tissue_box,container,False,frequent,187
toilet,toilet,fixture,False,seg37+frequent,280
toiletpaper,toilet_paper,other,False,frequent,132
towel,towel,textile,False,seg37+frequent,560
toy,toy,other,False,frequent,227
trashcan,trash_can,container,False,frequent,1150
tray,tray,tableware,False,frequent,161
tree,tree,decor,False,frequent,104
vase,vase,decor,False,frequent,312
vent,vent,fixture,False,frequent,193
wall,wall,structure,True,seg37+frequent,18584
whiteboard,whiteboard,decor,False,seg37+frequent,491
window,window,fixture,False,seg37+frequent,4505
