concept,frequency,raw_normalized_variants_seen
mat,99,mat
drain,99,drain
notebook,97,notebook
trash,96,trash
stair,96,stair
podium,96,podium
bulletinboard,96,bulletinboard
label,95,label
fireextinguisher,95,fireextinguisher
flyer,94,flyer
knob,92,knob
mousepad,91,mousepad
bucket,91,bucket
placemat,90,placemat
partition,90,partition
sheet,89,sheet
napkin,88,napkin
dryeraseboard,88,dryeraseboard
candle,88,candle
windowsill,87,windowsill
step,87,step
stapler,87,stapler
cart,87,cart
soap,83,soap
suitcase,80,suitcase
closet,80,closet
tvstand,79,tvstand
folder,78,folder
corkboard,78,corkboard
plantpot,77,plantpot
endtable,77,endtable
windowframe,76,windowframe
seat,75,seat
officechair,75,officechair
washbasin,73,washbasin
walldecoration,73,walldecoration
cubboard,73,cubboard
comforter,72,comforter
shade,71,shade
fireplace,71,fireplace
roof,70,roof
airconditioner,70,airconditioner
slab,69,slab
railing,69,railing
projector,69,projector
furniture,69,furniture
man,68,man
locker,68,locker
purse,67,purse
chest,67,chest
tap,66,tap
sticker,66,sticker
panel,66,panel
exitsign,66,exitsign
coffeemachine,66,coffeemachine
alarmclock,66,alarmclock
sidetable,65,sidetable
noticeboard,65,noticeboard
chairback,64,chairback
device,63,device
can,63,can
art,63,art
socket,62,socket
mailbox,62,mailbox
dryingrack,62,dryingrack
divider,62,divider
darkarea,62,darkarea
coat,62,coat
toothbrush,60,toothbrush
shirt,60,shirt
banner,60,banner
urinal,59,urinal
powerstrip,59,powerstrip
hat,59,hat
cuttingboard,59,cuttingboard
wardrobe,58,wardrobe
jacket,58,jacket
faucethandle,58,faucethandle
computerscreen,58,computerscreen
ceilinglight,58,ceilinglight
bedsheet,58,bedsheet
plug,57,plug
bedsidetable,57,bedsidetable
newspaper,56,newspaper
decoration,56,decoration
deskchair,55,deskchair
brickwall,55,brickwall
wallart,54,wallart
soapdispenser,54,soapdispenser
roundtable,54,roundtable
lock,54,lock
decorativeplate,54,decorativeplate
apple,54,apple
umbrella,53,umbrella
sponge,53,sponge
handrail,53,handrail
computertower,53,computertower
computermouse,53,computermouse
coffeemaker,53,coffeemaker
switchbox,52,switchbox
headphone,52,headphone
tube,51,tube
rail,51,rail
covemolding,51,covemolding
towelrod,50,towelrod
tape,50,tape
recyclingbin,50,recyclingbin
piano,50,piano
coffeemug,50,coffeemug
