canonical_concept,display_name,category,is_structural,source,frequency
bathtub,bathtub,fixture,False,target_class+frequent,141
bed,bed,furniture,False,target_class+frequent,131
cabinet,cabinet,furniture,False,target_class+frequent,2061
chair,chair,furniture,False,target_class+frequent,1050
dishwasher,dishwasher,electronics,False,target_class,18
fireplace,fireplace,fixture,False,target_class,95
oven,oven,electronics,False,target_class+frequent,129
refrigerator,refrigerator,electronics,False,target_class,74
shelf,shelf,furniture,False,target_class+frequent,306
sink,sink,fixture,False,target_class+frequent,423
sofa,sofa,furniture,False,target_class+frequent,514
stool,stool,furniture,False,target_class+frequent,217
stove,stove,electronics,False,target_class,92
table,table,furniture,False,target_class+frequent,809
television,television,electronics,False,target_class+frequent,316
toilet,toilet,fixture,False,target_class+frequent,270
washer,washer,electronics,False,target_class,86
