video_id,visit_id,fold
40777073,369706.0,Training
40958756,379877.0,Training
40958767,379876.0,Training
41007582,380031.0,Training
41007591,380030.0,Training
41048071,,Training
41048142,381450.0,Training
41048169,381541.0,Training
41048225,381654.0,Training
41048247,381652.0,Training
41048249,381652.0,Training
41069076,381615.0,Training
41069087,381613.0,Training
41069125,381735.0,Training
41069130,381734.0,Training
41069168,381811.0,Training
41097978,382153.0,Training
41097992,382149.0,Training
41098000,382148.0,Training
41098062,381878.0,Training
41098076,381877.0,Training
41098100,381876.0,Training
41098140,382147.0,Training
41098151,382147.0,Training
41098152,382147.0,Training
41098157,382145.0,Training
41098158,382145.0,Training
41098176,382116.0,Training
41124839,382141.0,Training
41124857,382140.0,Training
41125011,382458.0,Training
41125106,382457.0,Training
41125111,382457.0,Training
41125199,382112.0,Training
41125272,382108.0,Training
41125303,382107.0,Training
41125316,382107.0,Training
41125438,382441.0,Training
41125478,382438.0,Training
41125512,382437.0,Training
41125536,382435.0,Training
41125611,382429.0,Training
41125829,382299.0,Training
41125918,382706.0,Training
41126383,382303.0,Training
41126386,382303.0,Training
41126458,382630.0,Training
41126466,382628.0,Training
41126546,382965.0,Training
41126567,382973.0,Training
41126592,382968.0,Training
41126645,382645.0,Training
41126667,382640.0,Training
41126678,382640.0,Training
41126689,382637.0,Training
41126697,382637.0,Training
41126700,382633.0,Training
41126728,382840.0,Training
41126742,382835.0,Training
41126744,382835.0,Training
41126779,382830.0,Training
41126783,382830.0,Training
41126792,383373.0,Training
41126811,383355.0,Training
41126867,382852.0,Training
41126979,383239.0,Training
41126998,383219.0,Training
41127074,383236.0,Training
41127082,383236.0,Training
41127101,383234.0,Training
41159381,381625.0,Training
41159448,381628.0,Training
41159623,382103.0,Training
41159639,382442.0,Training
41159641,382442.0,Training
41159643,382442.0,Training
41159687,382122.0,Training
41159694,382105.0,Training
41159704,382312.0,Training
41159762,382322.0,Training
41159823,382610.0,Training
41159846,382629.0,Training
41159862,382622.0,Training
41159870,382975.0,Training
41159873,382975.0,Training
41165735,385414.0,Training
41249057,385661.0,Training
41254551,383722.0,Training
41254632,383998.0,Training
41254720,383725.0,Training
41254778,383993.0,Training
41254893,383834.0,Training
41254956,383837.0,Training
42444474,421069.0,Training
42444501,421065.0,Training
42444513,421063.0,Training
42444526,421060.0,Training
42444703,421013.0,Training
42444711,421010.0,Training
42444735,421267.0,Training
42444814,421261.0,Training
42444849,421014.0,Training
42444855,421014.0,Training
42444859,421009.0,Training
42444860,421009.0,Training
42444872,421006.0,Training
42444928,421392.0,Training
42444997,421772.0,Training
42444998,421772.0,Training
42445078,421647.0,Training
42445128,420687.0,Training
42445180,420688.0,Training
42445205,420673.0,Training
42445445,421386.0,Training
42445462,421382.0,Training
42445476,421379.0,Training
42445498,421853.0,Training
42445502,421853.0,Training
42445599,421602.0,Training
42445670,422163.0,Training
42445677,422163.0,Training
42445680,422155.0,Training
42445716,422134.0,Training
42445721,422134.0,Training
42445781,422203.0,Training
42445788,421654.0,Training
42445891,422009.0,Training
42445927,422551.0,Training
42445938,422539.0,Training
42446017,422007.0,Training
42446025,422007.0,Training
42446050,422535.0,Training
42446068,422521.0,Training
42446072,422521.0,Training
42446466,422522.0,Training
42446485,422522.0,Training
